order_id,order_date,sales_rep_id,region,city,category,sub_category,channel,quantity,unit_price,discount_pct,discount_amount,revenue,cogs,profit
ORD00001,2023-02-22,REP018,North,Surat,Books,Fiction,Direct Sales,2,11149.1,5,1114.91,21183.29,9891.82,11291.47
ORD00002,2023-10-15,REP007,Central,Kolkata,Electronics,Laptops,Retail Store,6,3357.71,20,4029.25,16117.01,9357.63,6759.38
ORD00003,2023-06-24,REP009,South,Bengaluru,Food & Beverage,Dairy,Wholesale,1,11406.23,5,570.31,10835.92,6603.86,4232.06
ORD00004,2023-01-23,REP015,Central,Delhi,Electronics,Laptops,Direct Sales,25,1541.07,10,3852.68,34674.07,20149.72,14524.35
ORD00005,2023-12-27,REP003,North,Bengaluru,Electronics,Tablets,Wholesale,41,9315.94,10,38195.35,343758.19,197044.13,146714.06
ORD00006,2023-07-06,REP006,East,Pune,Electronics,Phones,Retail Store,7,5763.88,15,6052.07,34295.09,20258.29,14036.8
ORD00007,2023-11-22,REP006,Central,Bengaluru,Books,Academic,Retail Store,45,14056.15,25,158131.69,474395.06,199919.92,274475.14
ORD00008,2023-04-23,REP011,North,Bengaluru,Food & Beverage,Organic,Online,18,14843.9,25,66797.55,200392.65,121527.84,78864.81
ORD00009,2023-10-18,REP011,South,Ahmedabad,Toys,Educational,Direct Sales,26,4089.34,5,5316.14,101006.7,68072.54,32934.16
ORD00010,2023-10-03,REP009,Central,Kolkata,Books,Children,Direct Sales,10,4046.71,5,2023.36,38443.74,23969.54,14474.2
ORD00011,2023-02-26,REP005,South,Kolkata,Furniture,Bedroom,Online,9,7691.94,0,0.0,69227.46,43387.25,25840.21
ORD00012,2023-10-11,REP001,North,Jaipur,Food & Beverage,Organic,Wholesale,39,14942.21,20,116549.24,466196.95,221641.33,244555.62
ORD00013,2023-05-15,REP017,South,Jaipur,Toys,Educational,Online,8,4473.15,5,1789.26,33995.94,18225.81,15770.13
ORD00014,2023-03-24,REP018,Central,Mumbai,Toys,Educational,Wholesale,41,7664.18,5,15711.57,298519.81,133095.59,165424.22
ORD00015,2023-05-04,REP019,North,Delhi,Food & Beverage,Snacks,Direct Sales,8,13943.57,10,11154.86,100393.7,47369.33,53024.37
ORD00016,2023-09-01,REP018,South,Hyderabad,Toys,Action Figures,Direct Sales,49,8037.32,5,19691.43,374137.25,164065.71,210071.54
ORD00017,2023-08-13,REP017,West,Delhi,Clothing,Women's,Retail Store,46,4744.57,25,54562.55,163687.67,97388.18,66299.49
ORD00018,2023-04-23,REP001,North,Mumbai,Clothing,Men's,Retail Store,22,413.41,20,1819.0,7276.02,3412.7,3863.32
ORD00019,2023-09-06,REP007,Central,Chennai,Electronics,Laptops,Direct Sales,22,1155.77,5,1271.35,24155.59,11680.27,12475.32
ORD00020,2023-07-01,REP014,West,Ahmedabad,Clothing,Footwear,Online,27,2937.11,0,0.0,79301.97,47398.38,31903.59
ORD00021,2023-02-25,REP008,South,Bengaluru,Books,Fiction,Direct Sales,4,6099.06,10,2439.62,21956.62,14056.14,7900.48
ORD00022,2023-02-08,REP015,Central,Delhi,Clothing,Footwear,Online,12,4250.32,5,2550.19,48453.65,32093.07,16360.58
ORD00023,2023-09-06,REP016,South,Kolkata,Books,Fiction,Online,6,13902.87,5,4170.86,79246.36,35652.41,43593.95
ORD00024,2023-08-21,REP010,West,Jaipur,Clothing,Footwear,Direct Sales,1,14781.1,10,1478.11,13302.99,9018.83,4284.16
ORD00025,2023-10-05,REP002,East,Mumbai,Clothing,Women's,Online,19,3343.74,0,0.0,63531.06,36451.21,27079.85
ORD00026,2023-09-18,REP003,South,Delhi,Sports,Water Sports,Online,33,13798.87,20,91072.54,364290.17,162921.43,201368.74
ORD00027,2023-11-01,REP002,Central,Delhi,Books,Non-Fiction,Direct Sales,26,1886.31,20,9808.81,39235.25,18592.2,20643.05
ORD00028,2023-05-16,REP013,South,Hyderabad,Books,Academic,Direct Sales,17,3143.46,25,13359.7,40079.12,19809.31,20269.81
ORD00029,2023-02-07,REP018,South,Jaipur,Furniture,Living Room,Wholesale,1,6928.45,20,1385.69,5542.76,3873.44,1669.32
ORD00030,2023-08-13,REP018,East,Surat,Clothing,Kids,Online,5,13201.13,10,6600.56,59405.09,28840.95,30564.14
ORD00031,2023-02-24,REP018,South,Hyderabad,Books,Academic,Wholesale,43,1643.44,5,3533.4,67134.52,32180.25,34954.27
ORD00032,2023-05-16,REP017,West,Hyderabad,Sports,Outdoor,Online,46,5208.92,25,59902.58,179707.74,106076.34,73631.4
ORD00033,2023-11-23,REP009,South,Ahmedabad,Electronics,Accessories,Direct Sales,18,756.89,10,1362.4,12261.62,7741.2,4520.42
ORD00034,2023-10-07,REP002,East,Surat,Sports,Fitness,Retail Store,8,1221.13,25,2442.26,7326.78,4917.58,2409.2
ORD00035,2023-04-18,REP008,North,Pune,Food & Beverage,Beverages,Direct Sales,3,4693.05,0,0.0,14079.15,9428.49,4650.66
ORD00036,2023-01-13,REP006,East,Kolkata,Sports,Outdoor,Retail Store,16,12982.62,5,10386.1,197335.82,131114.82,66221.0
ORD00037,2023-04-24,REP007,West,Pune,Furniture,Bedroom,Wholesale,45,1710.62,0,0.0,76977.9,50618.97,26358.93
ORD00038,2023-05-23,REP003,East,Pune,Toys,Board Games,Direct Sales,15,452.6,5,339.45,6449.55,3350.8,3098.75
ORD00039,2023-05-16,REP002,North,Surat,Books,Academic,Direct Sales,2,1818.59,10,363.72,3273.46,1484.74,1788.72
ORD00040,2023-10-23,REP007,East,Mumbai,Furniture,Office,Direct Sales,28,9132.51,20,51142.06,204568.22,88924.52,115643.7
ORD00041,2023-11-16,REP011,North,Hyderabad,Electronics,Phones,Wholesale,24,6526.33,25,39157.98,117473.94,79439.55,38034.39
ORD00042,2023-04-09,REP014,West,Chennai,Books,Children,Wholesale,21,6095.77,10,12801.12,115210.05,65246.19,49963.86
ORD00043,2023-11-07,REP011,West,Ahmedabad,Food & Beverage,Snacks,Direct Sales,20,4375.01,15,13125.03,74375.17,47282.35,27092.82
ORD00044,2023-02-13,REP010,Central,Surat,Books,Non-Fiction,Wholesale,33,7150.47,25,58991.38,176974.13,79798.95,97175.18
ORD00045,2023-01-24,REP008,West,Surat,Electronics,Phones,Online,44,4725.25,5,10395.55,197515.45,87737.59,109777.86
ORD00046,2023-09-11,REP013,South,Chennai,Food & Beverage,Organic,Online,41,8677.5,25,88944.38,266833.12,162476.36,104356.76
ORD00047,2023-12-23,REP017,West,Mumbai,Toys,Action Figures,Retail Store,50,6434.68,5,16086.7,305647.3,195991.12,109656.18
ORD00048,2023-10-14,REP020,East,Ahmedabad,Toys,Action Figures,Direct Sales,30,2086.75,15,9390.38,53212.12,31941.82,21270.3
ORD00049,2023-05-07,REP009,Central,Ahmedabad,Toys,Outdoor,Retail Store,11,11180.47,15,18447.78,104537.39,55929.69,48607.7
ORD00050,2023-06-13,REP018,North,Chennai,Furniture,Outdoor,Retail Store,5,10731.82,5,2682.95,50976.15,24545.76,26430.39
ORD00051,2023-07-28,REP011,Central,Ahmedabad,Clothing,Footwear,Direct Sales,45,2376.8,5,5347.8,101608.2,42601.13,59007.07
ORD00052,2023-01-11,REP019,West,Ahmedabad,Electronics,Phones,Online,27,5903.2,20,31877.28,127509.12,87193.11,40316.01
ORD00053,2023-10-07,REP020,South,Ahmedabad,Furniture,Office,Retail Store,49,5910.8,15,43444.38,246184.82,138224.45,107960.37
ORD00054,2023-07-27,REP006,West,Chennai,Furniture,Outdoor,Online,32,532.47,10,1703.9,15335.14,9211.24,6123.9
ORD00055,2023-04-04,REP002,East,Kolkata,Food & Beverage,Snacks,Wholesale,6,9676.97,5,2903.09,55158.73,36407.82,18750.91
ORD00056,2023-08-04,REP009,North,Ahmedabad,Clothing,Footwear,Online,21,5128.76,15,16155.59,91548.37,44261.53,47286.84
ORD00057,2023-11-30,REP002,North,Bengaluru,Books,Fiction,Retail Store,23,3440.91,0,0.0,79140.93,50204.63,28936.3
ORD00058,2023-02-28,REP019,South,Ahmedabad,Toys,Action Figures,Wholesale,40,2370.5,5,4741.0,90079.0,48828.97,41250.03
ORD00059,2023-03-25,REP010,North,Surat,Toys,Educational,Online,11,9127.8,25,25101.45,75304.35,46350.37,28953.98
ORD00060,2023-12-20,REP008,North,Hyderabad,Furniture,Outdoor,Online,26,14127.91,5,18366.28,348959.38,147539.66,201419.72
ORD00061,2023-09-17,REP011,North,Kolkata,Toys,Action Figures,Direct Sales,23,8037.9,25,46217.93,138653.77,70875.82,67777.95
ORD00062,2023-08-11,REP006,Central,Hyderabad,Electronics,Accessories,Direct Sales,24,9570.22,15,34452.79,195232.49,119519.88,75712.61
ORD00063,2023-02-14,REP009,West,Bengaluru,Food & Beverage,Organic,Direct Sales,47,8927.87,10,41960.99,377648.9,247554.12,130094.78
ORD00064,2023-04-19,REP012,East,Pune,Sports,Water Sports,Wholesale,22,527.63,10,1160.79,10447.07,4748.74,5698.33
ORD00065,2023-07-28,REP016,Central,Bengaluru,Sports,Team Sports,Direct Sales,36,251.25,5,452.25,8592.75,3657.8,4934.95
ORD00066,2023-07-27,REP008,East,Surat,Books,Children,Wholesale,29,11914.7,0,0.0,345526.3,168710.36,176815.94
ORD00067,2023-12-26,REP015,East,Hyderabad,Food & Beverage,Dairy,Wholesale,28,14949.81,20,83718.94,334875.74,167182.49,167693.25
ORD00068,2023-12-20,REP006,South,Bengaluru,Clothing,Men's,Direct Sales,47,2969.51,0,0.0,139566.97,86931.29,52635.68
ORD00069,2023-04-02,REP010,North,Jaipur,Furniture,Office,Retail Store,7,12506.16,10,8754.31,78788.81,36892.46,41896.35
ORD00070,2023-11-23,REP016,North,Mumbai,Furniture,Living Room,Wholesale,4,8345.05,25,8345.05,25035.15,17104.69,7930.46
ORD00071,2023-09-02,REP004,North,Kolkata,Food & Beverage,Organic,Direct Sales,29,5176.52,0,0.0,150119.08,71418.18,78700.9
ORD00072,2023-02-13,REP008,North,Jaipur,Electronics,Laptops,Direct Sales,10,2323.04,20,4646.08,18584.32,12725.38,5858.94
ORD00073,2023-06-02,REP019,West,Hyderabad,Sports,Outdoor,Online,50,7886.33,15,59147.47,335169.03,225418.37,109750.66
ORD00074,2023-02-11,REP006,South,Chennai,Sports,Fitness,Online,49,3196.04,5,7830.3,148775.66,71322.13,77453.53
ORD00075,2023-01-17,REP008,East,Hyderabad,Clothing,Men's,Direct Sales,27,6812.51,20,36787.55,147150.22,79604.41,67545.81
ORD00076,2023-04-12,REP014,North,Jaipur,Electronics,Phones,Retail Store,17,11838.64,25,50314.22,150942.66,87084.39,63858.27
ORD00077,2023-06-07,REP020,Central,Hyderabad,Books,Non-Fiction,Direct Sales,18,12416.8,0,0.0,223502.4,93399.73,130102.67
ORD00078,2023-09-14,REP018,West,Ahmedabad,Electronics,Accessories,Online,45,4630.96,15,31258.98,177134.22,120947.75,56186.47
ORD00079,2023-02-16,REP008,Central,Surat,Sports,Fitness,Online,28,11044.56,20,61849.54,247398.14,117541.42,129856.72
ORD00080,2023-11-30,REP015,East,Chennai,Toys,Educational,Direct Sales,37,699.45,5,1293.98,24585.67,13304.54,11281.13
ORD00081,2023-12-10,REP004,South,Pune,Books,Children,Direct Sales,6,7103.15,15,6392.83,36226.07,18112.76,18113.31
ORD00082,2023-10-09,REP002,West,Delhi,Books,Children,Wholesale,19,9972.49,15,28421.6,161055.71,103731.12,57324.59
ORD00083,2023-01-01,REP018,West,Kolkata,Furniture,Office,Online,8,14555.75,15,17466.9,98979.1,65274.06,33705.04
ORD00084,2023-01-27,REP007,East,Jaipur,Clothing,Kids,Retail Store,40,11371.0,25,113710.0,341130.0,181690.03,159439.97
ORD00085,2023-11-08,REP008,South,Hyderabad,Furniture,Outdoor,Online,45,7322.21,0,0.0,329499.45,227995.18,101504.27
ORD00086,2023-03-02,REP005,West,Hyderabad,Sports,Water Sports,Wholesale,6,3448.04,0,0.0,20688.24,11139.26,9548.98
ORD00087,2023-04-08,REP020,Central,Chennai,Food & Beverage,Organic,Online,31,3731.59,20,23135.86,92543.43,41033.07,51510.36
ORD00088,2023-01-02,REP010,East,Surat,Furniture,Outdoor,Direct Sales,22,14020.3,20,61689.32,246757.28,118480.95,128276.33
ORD00089,2023-10-06,REP013,West,Pune,Toys,Board Games,Retail Store,29,8124.85,10,23562.06,212058.59,105972.46,106086.13
ORD00090,2023-08-31,REP013,West,Chennai,Books,Non-Fiction,Direct Sales,37,5806.27,15,32224.8,182607.19,75433.97,107173.22
ORD00091,2023-08-14,REP004,Central,Ahmedabad,Electronics,Phones,Online,33,14483.77,10,47796.44,430167.97,284302.35,145865.62
ORD00092,2023-05-16,REP011,Central,Kolkata,Books,Non-Fiction,Online,27,13076.9,5,17653.81,335422.49,141698.72,193723.77
ORD00093,2023-11-17,REP016,Central,Mumbai,Toys,Educational,Online,44,12904.2,15,85167.72,482617.08,331192.05,151425.03
ORD00094,2023-11-21,REP004,West,Chennai,Clothing,Kids,Wholesale,15,11226.82,15,25260.35,143141.95,99269.13,43872.82
ORD00095,2023-08-09,REP005,South,Jaipur,Electronics,Laptops,Direct Sales,21,11962.54,10,25121.33,226092.01,114750.51,111341.5
ORD00096,2023-11-14,REP008,West,Surat,Sports,Outdoor,Retail Store,11,2708.53,20,5958.77,23835.06,15760.98,8074.08
ORD00097,2023-08-27,REP010,Central,Chennai,Clothing,Footwear,Online,41,3884.26,10,15925.47,143329.19,86005.0,57324.19
ORD00098,2023-08-22,REP010,South,Kolkata,Food & Beverage,Dairy,Direct Sales,38,4557.4,15,25977.18,147204.02,89366.69,57837.33
ORD00099,2023-12-25,REP010,North,Kolkata,Electronics,Phones,Wholesale,25,8621.65,20,43108.25,172433.0,84278.65,88154.35
ORD00100,2023-04-28,REP020,East,Bengaluru,Electronics,Laptops,Retail Store,39,11203.07,10,43691.97,393227.76,248803.97,144423.79
ORD00101,2023-03-12,REP004,North,Hyderabad,Sports,Team Sports,Direct Sales,44,11358.1,25,124939.1,374817.3,226485.8,148331.5
ORD00102,2023-08-01,REP006,South,Chennai,Electronics,Tablets,Wholesale,47,2058.04,10,9672.79,87055.09,43354.8,43700.29
ORD00103,2023-06-01,REP011,North,Ahmedabad,Sports,Team Sports,Online,11,3928.85,15,6482.6,36734.75,25354.88,11379.87
ORD00104,2023-10-13,REP012,North,Kolkata,Clothing,Women's,Online,44,10890.83,15,71879.48,407317.04,281122.45,126194.59
ORD00105,2023-10-27,REP013,East,Delhi,Furniture,Living Room,Retail Store,30,5591.93,25,41939.48,125818.42,75705.23,50113.19
ORD00106,2023-11-09,REP008,North,Ahmedabad,Food & Beverage,Snacks,Wholesale,40,13275.1,20,106200.8,424803.2,211722.72,213080.48
ORD00107,2023-09-10,REP004,North,Bengaluru,Books,Children,Retail Store,8,2182.68,0,0.0,17461.44,8578.97,8882.47
ORD00108,2023-10-04,REP014,Central,Chennai,Food & Beverage,Organic,Direct Sales,24,10090.24,25,60541.44,181624.32,110599.26,71025.06
ORD00109,2023-07-09,REP007,West,Ahmedabad,Books,Fiction,Retail Store,32,9273.22,10,29674.3,267068.74,109448.75,157619.99
ORD00110,2023-11-27,REP012,North,Kolkata,Toys,Educational,Wholesale,7,14715.82,10,10301.07,92709.67,52227.04,40482.63
ORD00111,2023-11-02,REP001,North,Pune,Clothing,Men's,Retail Store,30,1465.93,5,2198.89,41779.01,24754.54,17024.47
ORD00112,2023-04-21,REP008,East,Chennai,Clothing,Women's,Online,5,12464.29,20,12464.29,49857.16,23041.35,26815.81
ORD00113,2023-01-14,REP005,North,Pune,Furniture,Bedroom,Retail Store,9,8149.21,5,3667.14,69675.75,30168.06,39507.69
ORD00114,2023-08-04,REP017,North,Delhi,Sports,Team Sports,Direct Sales,2,2696.27,0,0.0,5392.54,2362.08,3030.46
ORD00115,2023-11-11,REP002,Central,Hyderabad,Food & Beverage,Dairy,Direct Sales,33,8945.62,15,44280.82,250924.64,138297.52,112627.12
ORD00116,2023-02-25,REP016,West,Delhi,Books,Fiction,Online,4,14978.94,15,8987.36,50928.4,26884.19,24044.21
ORD00117,2023-10-08,REP011,West,Surat,Furniture,Bedroom,Wholesale,5,1980.25,20,1980.25,7921.0,4672.78,3248.22
ORD00118,2023-11-30,REP018,South,Kolkata,Food & Beverage,Organic,Direct Sales,7,11917.13,0,0.0,83419.91,54709.93,28709.98
ORD00119,2023-02-18,REP011,West,Pune,Clothing,Footwear,Wholesale,22,12428.55,15,41014.21,232413.89,121970.09,110443.8
ORD00120,2023-02-13,REP003,West,Delhi,Furniture,Bedroom,Wholesale,44,13852.48,0,0.0,609509.12,260484.35,349024.77
ORD00121,2023-12-10,REP004,West,Pune,Toys,Board Games,Direct Sales,36,993.72,20,7154.78,28619.14,16270.12,12349.02
ORD00122,2023-09-17,REP007,South,Ahmedabad,Toys,Action Figures,Retail Store,19,9046.11,10,17187.61,154688.48,66683.14,88005.34
ORD00123,2023-05-23,REP019,South,Kolkata,Toys,Action Figures,Online,23,12696.06,10,29200.94,262808.44,114181.23,148627.21
ORD00124,2023-06-23,REP012,North,Chennai,Sports,Team Sports,Retail Store,2,2788.2,25,1394.1,4182.3,2629.51,1552.79
ORD00125,2023-02-16,REP017,South,Kolkata,Sports,Water Sports,Direct Sales,5,2213.93,25,2767.41,8302.24,5741.36,2560.88
ORD00126,2023-10-18,REP020,North,Mumbai,Food & Beverage,Dairy,Retail Store,11,5613.79,25,15437.92,46313.77,23032.53,23281.24
ORD00127,2023-09-06,REP020,West,Kolkata,Clothing,Men's,Wholesale,44,1315.56,15,8682.7,49201.94,29451.38,19750.56
ORD00128,2023-10-31,REP016,Central,Hyderabad,Clothing,Men's,Online,23,6505.71,10,14963.13,134668.2,81267.59,53400.61
ORD00129,2023-04-19,REP005,East,Hyderabad,Clothing,Footwear,Wholesale,39,916.25,5,1786.69,33947.06,16648.51,17298.55
ORD00130,2023-09-30,REP008,Central,Jaipur,Electronics,Laptops,Wholesale,32,11230.51,5,17968.82,341407.5,149794.49,191613.01
ORD00131,2023-02-09,REP011,Central,Kolkata,Electronics,Accessories,Direct Sales,48,730.3,0,0.0,35054.4,18856.68,16197.72
ORD00132,2023-03-29,REP020,West,Pune,Books,Children,Online,19,1816.08,0,0.0,34505.52,23803.97,10701.55
ORD00133,2023-07-22,REP010,East,Bengaluru,Food & Beverage,Snacks,Wholesale,16,6591.58,15,15819.79,89645.49,49949.46,39696.03
ORD00134,2023-04-10,REP012,East,Chennai,Toys,Board Games,Retail Store,5,7706.2,0,0.0,38531.0,21545.82,16985.18
ORD00135,2023-12-02,REP003,South,Ahmedabad,Electronics,Phones,Direct Sales,17,3039.35,20,10333.79,41335.16,18429.73,22905.43
ORD00136,2023-11-16,REP011,East,Chennai,Toys,Outdoor,Direct Sales,44,13869.9,20,122055.12,488220.48,289464.73,198755.75
ORD00137,2023-06-30,REP017,North,Hyderabad,Electronics,Accessories,Direct Sales,29,9507.64,10,27572.16,248149.4,143287.9,104861.5
ORD00138,2023-02-16,REP020,Central,Jaipur,Food & Beverage,Snacks,Direct Sales,4,5594.19,10,2237.68,20139.08,8519.22,11619.86
ORD00139,2023-06-14,REP020,West,Jaipur,Food & Beverage,Snacks,Retail Store,29,13644.84,20,79140.07,316560.29,188527.87,128032.42
ORD00140,2023-02-13,REP017,South,Mumbai,Electronics,Accessories,Retail Store,7,12183.41,10,8528.39,76755.48,53323.24,23432.24
ORD00141,2023-07-10,REP010,West,Kolkata,Books,Children,Wholesale,29,7908.62,20,45870.0,183479.98,82130.02,101349.96
ORD00142,2023-10-13,REP013,East,Hyderabad,Books,Fiction,Retail Store,41,9744.85,0,0.0,399538.85,199332.82,200206.03
ORD00143,2023-12-02,REP013,South,Surat,Furniture,Living Room,Online,38,9987.82,10,37953.72,341583.44,168424.38,173159.06
ORD00144,2023-12-17,REP017,North,Kolkata,Furniture,Outdoor,Wholesale,42,11895.76,5,24981.1,474640.82,285275.71,189365.11
ORD00145,2023-09-06,REP007,South,Chennai,Electronics,Tablets,Retail Store,20,2785.92,5,2785.92,52932.48,26599.61,26332.87
ORD00146,2023-09-27,REP002,East,Surat,Electronics,Tablets,Retail Store,7,7664.58,20,10730.41,42921.65,27922.08,14999.57
ORD00147,2023-03-26,REP015,North,Kolkata,Sports,Water Sports,Wholesale,10,2517.48,25,6293.7,18881.1,11920.19,6960.91
ORD00148,2023-04-30,REP018,South,Hyderabad,Books,Non-Fiction,Direct Sales,29,9197.87,25,66684.56,200053.67,127062.11,72991.56
ORD00149,2023-08-25,REP010,West,Jaipur,Toys,Board Games,Direct Sales,24,10206.77,20,48992.5,195969.98,136264.19,59705.79
ORD00150,2023-09-04,REP012,Central,Delhi,Clothing,Women's,Online,39,2162.14,10,8432.35,75891.11,31544.44,44346.67
ORD00151,2023-03-17,REP014,North,Bengaluru,Furniture,Living Room,Direct Sales,49,2488.65,15,18291.58,103652.27,69612.02,34040.25
ORD00152,2023-07-17,REP003,East,Bengaluru,Furniture,Living Room,Online,27,893.53,20,4825.06,19300.25,9885.37,9414.88
ORD00153,2023-05-27,REP016,South,Ahmedabad,Furniture,Living Room,Direct Sales,46,9784.41,5,22504.14,427578.72,188681.88,238896.84
ORD00154,2023-10-08,REP020,Central,Kolkata,Sports,Fitness,Online,6,383.16,5,114.95,2184.01,1420.67,763.34
ORD00155,2023-11-24,REP020,West,Delhi,Toys,Educational,Online,16,4587.15,0,0.0,73394.4,34607.8,38786.6
